Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Outlet_Age,Item_Visibility_MeanRatio
12.15,Low Fat,0.144338493,Health and Hygiene,224.4404,Medium,Tier 3,Supermarket Type3,6976.2524,28,0.8046708364730248
8.89,Low Fat,0.009163216,Frozen Foods,101.7016,Small,Tier 3,Grocery Store,101.2016,15,1.4197649145980327
7.855,Low Fat,0.011307038,Canned,188.5188,Medium,Tier 3,Supermarket Type2,952.094,4,0.8722339603949565
7.235,Low Fat,0.076855628,Household,116.0492,Small,Tier 1,Supermarket Type1,1969.4364,16,0.9986322230840355
18.25,Low Fat,0.059956876,Starchy Foods,165.4526,Medium,Tier 3,Supermarket Type3,5262.4832,28,0.8767395032026348
6.92,Low Fat,0.038532062,Dairy,60.5852,Small,Tier 2,Supermarket Type1,1314.2892,11,1.0002381398116789
9.3,Low Fat,0.043209581,Fruits and Vegetables,90.8172,Small,Tier 2,Supermarket Type1,535.3032,6,1.0047486362989948
18.5,Low Fat,0.056816465,Others,132.1284,Small,Tier 3,Grocery Store,263.6568,15,1.5255089605772434
8.02,Low Fat,0.019866705,Household,154.5972,Small,Tier 2,Supermarket Type1,1402.1748,9,0.8161364852536608
9.195,Low Fat,0.048331717,Household,105.1622,Small,Tier 2,Supermarket Type1,1693.7952,6,0.9168523734212936
12.8,Low Fat,0.091221855,Others,105.5938,Small,Tier 2,Supermarket Type1,2143.876,11,0.7796761014753127
16.6,Low Fat,0.027622076,Household,177.6344,Medium,Tier 1,Supermarket Type1,2676.516,14,0.8825315072178719
14.0,Regular,0.1540292196,Frozen Foods,53.064,Small,Tier 2,Supermarket Type1,905.488,9,1.0
18.6,Low Fat,0.039355947,Frozen Foods,246.3802,Medium,Tier 1,Supermarket Type1,7370.406,14,0.8808625329084496
16.0,Low Fat,0.060836524,Starchy Foods,226.8404,Small,Tier 2,Supermarket Type1,6301.1312,9,0.9981703397961053
17.6,Low Fat,0.082316506,Health and Hygiene,160.692,Small,Tier 2,Supermarket Type1,1597.92,9,0.8811099613784076
21.25,Low Fat,0.155350299,Snack Foods,178.237,Small,Tier 2,Supermarket Type1,529.311,9,0.9997633612623326
7.235,Low Fat,0.076841095,Household,117.5492,Small,Tier 2,Supermarket Type1,1969.4364,9,0.9984433869184124
14.6,Low Fat,0.151419185,Soft Drinks,50.3692,Small,Tier 2,Supermarket Type1,1034.6532,6,1.0023204999570055
13.85,Regular,0.026001976,Frozen Foods,161.521,Medium,Tier 3,Supermarket Type2,1794.331,4,1.0018503386019926
13.65,Regular,0.073209447,Frozen Foods,197.6426,Medium,Tier 3,Supermarket Type2,2768.3964,4,0.9067754473476878
9.5,Low Fat,0.041683481,Soft Drinks,31.29,Medium,Tier 3,Supermarket Type3,898.83,28,0.994099603943876
7.365,Low Fat,0.042560252,Fruits and Vegetables,226.172,Small,Tier 1,Supermarket Type1,3169.208,16,0.9222899096810624
18.35,Low Fat,0.014081156,Household,223.5746,Medium,Tier 3,Supermarket Type2,3589.9936,4,1.0026581194547473
5.465,Regular,0.0485448542,Baking Goods,132.5626,Medium,Tier 3,Supermarket Type2,262.3252,4,1.0
18.6,Low Fat,0.152918384,Breakfast,99.8358,Small,Tier 2,Supermarket Type1,1910.1802,6,0.8926897979587702
13.85,Low Fat,0.030969274,Soft Drinks,140.9154,Small,Tier 2,Supermarket Type1,1701.7848,6,0.9166849265840112
14.0,Regular,0.060376776,Frozen Foods,154.5656,High,Tier 3,Supermarket Type1,2471.4496,26,0.9991723992962211
14.0,Regular,0.04192285,Snack Foods,54.764,High,Tier 3,Supermarket Type1,1331.6,26,0.8422898483779423
21.35,Low Fat,0.077367431,Fruits and Vegetables,97.0094,Medium,Tier 3,Supermarket Type3,1808.9786,28,0.7339058770268426
5.905,Low Fat,0.045838211,Canned,222.5456,Medium,Tier 3,Supermarket Type2,3315.684,4,0.8445280690060895
7.27,Low Fat,0.071077939,Soft Drinks,114.2518,Small,Tier 1,Supermarket Type1,2618.5914,16,0.8877922170232116
6.155,Regular,0.094659871,Meat,214.556,Small,Tier 1,Supermarket Type1,2769.728,16,0.8981717019262059
19.5,Regular,0.077608838,Soft Drinks,233.4958,Small,Tier 2,Supermarket Type1,5375.0034,6,0.8354597455782373
15.2,Low Fat,0.021327477,Canned,216.8824,Small,Tier 2,Supermarket Type1,2838.9712,6,0.8675312528078218
12.15,Regular,0.042485444,Canned,125.0046,Medium,Tier 3,Supermarket Type2,1743.0644,4,1.0014566345080893
14.6,Low Fat,0.025578526,Household,198.8084,Medium,Tier 3,Supermarket Type3,5555.4352,28,0.8270120776541009
12.6,Low Fat,0.0489808,Breads,61.9194,Medium,Tier 3,Supermarket Type2,619.194,4,1.00294827166025
14.5,Low Fat,0.019471688,Others,164.821,Small,Tier 2,Supermarket Type1,2120.573,9,0.8307595884789992
16.6,Low Fat,0.122918852,Fruits and Vegetables,173.0738,Small,Tier 2,Supermarket Type1,3823.0236,6,1.0049899007669085
11.8,Regular,0.057373797,Meat,151.4366,High,Tier 3,Supermarket Type1,1360.2294,26,0.9983272047745853
13.1,Regular,0.044155597,Fruits and Vegetables,178.8318,High,Tier 3,Supermarket Type1,3969.4996,26,0.9990825353742274
17.7,Low Fat,0.291865402,Fruits and Vegetables,115.1834,Small,Tier 3,Grocery Store,345.5502,15,1.3534079503941994
17.85,Low Fat,0.08760952875,Breads,196.5794,Small,Tier 3,Grocery Store,585.2382,15,1.0
12.3,Regular,0.064750025,Starchy Foods,92.6804,Small,Tier 2,Supermarket Type1,1010.6844,11,0.8891376606863093
11.8,Low Fat,0.098312421,Health and Hygiene,81.4618,Small,Tier 3,Grocery Store,161.1236,15,1.5042148996000297
9.395,Regular,0.191013663,Soft Drinks,42.1112,Small,Tier 1,Grocery Store,42.6112,28,1.5556266933146095
11.1,Low Fat,0.176573035,Baking Goods,157.4604,Small,Tier 2,Supermarket Type1,3010.7476,11,0.9013800485035921
14.0,Regular,0.060134441,Frozen Foods,153.0656,Medium,Tier 3,Supermarket Type3,6024.1584,28,0.9951620088874412
11.3,Low Fat,0.007294652,Meat,198.1426,Small,Tier 2,Supermarket Type1,988.713,11,1.0002380620737086
10.0,Low Fat,0.128478462,Health and Hygiene,117.944,Small,Tier 1,Grocery Store,239.688,28,1.5546453710883277
5.75,Regular,0.075107656,Dairy,112.8176,High,Tier 3,Supermarket Type1,1374.2112,26,0.9984560311864705
6.215,Regular,0.049381406,Baking Goods,226.8062,Medium,Tier 3,Supermarket Type3,4739.8302,28,0.9070589341258875
11.35,Regular,0.045165796,Snack Foods,100.0016,Medium,Tier 3,Supermarket Type2,1012.016,4,0.8921328327250165
11.1,Regular,0.09415375,Fruits and Vegetables,165.7526,Small,Tier 1,Grocery Store,657.8104,28,1.3616339507333053
14.0,Low Fat,0.028907832,Health and Hygiene,130.431,Medium,Tier 1,Supermarket Type1,778.986,14,0.8894169292744109
19.75,Regular,0.018059621,Frozen Foods,179.766,Small,Tier 2,Supermarket Type1,2336.958,11,0.8999672322329714
6.525,Low Fat,0.090436094,Household,85.0882,Medium,Tier 1,Supermarket Type1,2233.0932,14,0.8898687335761011
10.3,Low Fat,0.146399712,Meat,103.9648,Medium,Tier 1,Supermarket Type1,1661.8368,14,0.8893073807389175
5.78,Regular,0.074264356,Snack Foods,264.7568,Medium,Tier 1,Supermarket Type1,4745.8224,14,0.9128242915411618
11.85,Regular,0.050186726,Fruits and Vegetables,164.1526,Small,Tier 2,Supermarket Type1,3124.5994,11,0.8903116288957265
16.35,Low Fat,0.020631654,Fruits and Vegetables,50.1324,Medium,Tier 3,Supermarket Type2,467.3916,4,0.9143475112523438
17.6,Low Fat,0.01561108,Household,182.5976,Medium,Tier 3,Supermarket Type3,5070.7328,28,0.8644885889253947
10.5,Low Fat,0.041395445,Fruits and Vegetables,37.6164,Small,Tier 1,Supermarket Type1,540.6296,16,1.0003803152371231
19.0,Regular,0.097313129,Frozen Foods,48.0718,Small,Tier 1,Supermarket Type1,992.7078,16,0.8074741545668177
14.6,Low Fat,0.059582996,Others,238.8538,Medium,Tier 1,Supermarket Type1,6008.845,14,0.9982324233311275
15.6,Regular,0.098663652,Dairy,62.9194,Medium,Tier 3,Supermarket Type3,2105.2596,28,0.8373728038348455
4.615,Regular,0.101338651,Canned,232.63,Medium,Tier 3,Supermarket Type3,5359.69,28,0.9947952237523713
18.75,Low Fat,0.052146456,Health and Hygiene,104.628,Small,Tier 2,Supermarket Type1,745.696,11,0.9993671688176069
5.26,Regular,0.041764487,Baking Goods,161.8868,Small,Tier 2,Supermarket Type1,3275.736,9,0.9971935455750508
18.25,Low Fat,0.054344186,Snack Foods,140.2154,Small,Tier 2,Supermarket Type1,1701.7848,11,0.9046495356868999
10.3,Low Fat,0.078362484,Baking Goods,177.937,Medium,Tier 3,Supermarket Type3,6704.606,28,0.8658007397217413
15.1,Low Fat,0.052339069,Meat,242.7512,Small,Tier 1,Supermarket Type1,4119.9704,16,0.882156088912951
15.5,Regular,0.042464962,Baking Goods,81.5934,Small,Tier 3,Grocery Store,327.5736,15,1.5033978716377463
13.65,Low Fat,0.065732883,Frozen Foods,45.7402,Medium,Tier 1,Supermarket Type1,780.9834,14,1.0016019106989633
16.1,Low Fat,0.023625114,Soft Drinks,189.3846,Small,Tier 2,Supermarket Type1,3630.6074,11,0.9004823303127691
5.175,Regular,0.051643608,Snack Foods,107.3622,Small,Tier 1,Grocery Store,317.5866,28,1.4529355500946428
12.85,Low Fat,0.165694219,Frozen Foods,39.7164,Small,Tier 3,Grocery Store,231.6984,15,1.351375277642241
9.5,Low Fat,0.041878397,Soft Drinks,32.99,Small,Tier 2,Supermarket Type1,133.16,9,0.99874811010876
13.8,Low Fat,0.058091482,Dairy,245.1802,Small,Tier 2,Supermarket Type1,5650.6446,9,0.8971045988937485
5.78,Regular,0.08135668242857143,Snack Foods,263.7568,Small,Tier 2,Supermarket Type1,2636.568,6,1.0
19.7,Low Fat,0.026903714,Household,96.0726,Small,Tier 2,Supermarket Type1,1272.3438,11,1.001429259171393
14.65,Low Fat,0.09383050716666667,Household,161.5552,Small,Tier 3,Grocery Store,324.9104,15,1.0000000000000002
6.67,Regular,0.150554711,Snack Foods,130.0626,Small,Tier 3,Grocery Store,131.1626,15,1.4732268033294051
6.11,Regular,0.10304264314285715,Fruits and Vegetables,131.2968,Small,Tier 3,Grocery Store,260.9936,15,1.0
13.65,Regular,0.134975628,Frozen Foods,260.0936,Small,Tier 3,Grocery Store,260.9936,15,1.5415872219831654
17.2,Low Fat,0.15616879,Meat,160.6578,High,Tier 3,Supermarket Type1,3690.5294,26,0.9992070456152972
6.32,Low Fat,0.01395232242857143,Meat,40.2822,Small,Tier 2,Supermarket Type1,1139.1838,9,1.0000000000000002
4.88,Regular,0.133700752,Baking Goods,52.9298,Medium,Tier 1,Supermarket Type1,1995.4026,14,0.856287467919922
5.425,Regular,0.115119905,Baking Goods,88.3514,Small,Tier 2,Supermarket Type1,1416.8224,6,0.7407710616542132
15.85,Regular,0.110030997,Frozen Foods,37.2506,Small,Tier 1,Supermarket Type1,265.6542,16,0.9015977457032144
7.5,Low Fat,0.051038045,Canned,121.7072,Small,Tier 2,Supermarket Type1,3552.7088,6,1.0038936453306724
12.65,Low Fat,0.062837968,Soft Drinks,161.5578,High,Tier 3,Supermarket Type1,2406.867,26,0.8968477060176689
9.06,Low Fat,0.017116983,Others,211.956,Small,Tier 1,Grocery Store,213.056,28,1.4724029968510226
